 UPDATED LINE UP - MAY 17th 2021.,,,,,
VESSEL,POSITION,SHIFT,QTTY,COMMODITY,DESTINATION
JAL SIDDHI,ETA TBC,DISCH,7350+2450,SULPHURE ACID,JAPAN
FAIRCHEM HONOR,ETA TBC,DISCH,7840,SULPHURE ACID,TBC
,,,,,
PAMPA ENERGIA S.A.: ,NIL,,,,
,,,,,
COFCO INTERNATIONAL NORTHERN BERTH - PUERTO GRAL. SAN MARTIN:,,,,,
AGNES VICTORY,ALONGSIDE/ETC 18/05 PM,LOAD,2500+4000+1500,CSFO+CSBO+HOSFO,INDIA 
DOÑA CARMEN,ALONGSIDE/ETC 18/05 PM,DISCH,13613,PY SOYA BEANS,PARAGUAY
SWIFT WINCHESTER,RECALADA 17/05,LOAD,5000+6500,CSFO+CSBO,TBC
HEMUS,1ST TFA-RDY 19/05 TBC,DISCH,4400,UREA,EGYPT
NCC HAIEL,RECALADA 18/05,LOAD,10420,CSBO ,PAKISTAN+INDIA
CHUMERNA,1ST SAN NICOLAS-RDY 26/05 TBC,DISCH,8800,UREA,EGYPT
,,,,,
COFCO INTERNATIONAL SOUTHERN BERTH - PUERTO GRAL. SAN MARTIN:,,,,,
NIKI C,SAN LORENZO 18/05,LOAD,30000,MAIZE,YEMEN
HING CHANG HAI,AT RECALADA,LOAD,6000,SUNPL,ITALY
BELMOIRA,AT CAMPANA-RDY 17/05 TBC-L/Y 19/05,LOAD,32489+5000,SBM+SHPL,SPAIN
BBG INTEGRITY,RECALADA 20/05,LOAD,40000,MAIZE,UAE+SAUDI ARABIA
GEORGITSI,RECALADA 24/05,LOAD,50000,SBM ,INDONESIA
,,,,,
ADM AGRO S.R.L (EX-TRANSITO BERTH) ,,,,,
GANNET BULKER,RECALADA 17/05,LOAD,35000,WHEAT,NIGERIA
AMIS UNICORN,AT ROADS,LOAD,42000,PY SBM,UK
STI WESTMINSTER,RECALADA 22/05,LOAD,12000,PY CSBO,INDIA+BANGLADESH
LAMPARD,RECALADA 23/05,LOAD,40000,MAIZE,EGYPT
ZAFER,RECALADA 27/05,LOAD,15000+15000,SBM+SOYA BEANS,INDIA+BANGLADESH
,,,,,
PAMPA:,,,,,
BLACK PEARL,ALONGSIDE/ETC 17/05 EVE,LOAD,40000+8800,MAIZE+SBM,MALAYSIA
ES VENUS,AT ROADS,LOAD,14000+18000,MAIZE+SBM,TUNISIA
GENEVA STAR,RECALADA 18/05,LOAD,44500,MAIZE ,MALAYSIA
,,,,,
DEMPA:,,,,,
ORION,AT ROADS-REJECTED,LOAD,40000,MAIZE,ALGERIA
CONDOR TRADER,RECALADA 17/05,LOAD,2000,CSBO,COLOMBIA
,,,,,
CHACABUCO BERTH:,NIL,,,,
,,,,,
AXION ENERGY BERTH,NIL,,,,
,,,,,
YPF TERMINAL FLUVIAL,,,,,
PIER 1,NIL,,,,
,,,,,
PIER 3,NI,,,,
,,,,,
ACA BERTH:  ,,,,,
ELINDA MARE,ALONGSIDE/ETC 18/05 PM,LOAD,45000,MAIZE,VIETNAM
ARGENMAR MISTRAL,AT ROSARIO ROADS,DISCH,10000,UREA,ARGENTINA
NAVIOS GALAXY II,AT RECALADA,LOAD,44000,SOYA BEANS,CHINA
JOHNNY P,AT RECALADA,LOAD,45000,MAIZE,VIETNAM
EMERALD ENTERPRISE,AT RECALADA,LOAD,30000,WHEAT,BRAZIL
MOUNTPARK,1ST TFA-RDY 23/05 TBC,DISCH,3080,MAP,CHINA
DANAE R,RECALADA 25/05,LOAD,45000,MAIZE,TAIWAN
SMEW,1ST NUEVA PALMIRA-RDY 04/06 TBC,DISCH,6000,MESZ,USA
POLA DEVORA,1ST SAN NICOLAS-RDY 10/06 TBC,DISCH,9400,MAP+DAP,ACA
,,,,,
NOURYON CHEMICALS ARGENTINA (EX AKZO NOBEL),,,,,
ESTEEM HUDSON,RECALADA 18/05,LOAD,14900,BIODIESEL,HOLLAND
GULF BAYNUNAH,1ST ROSARIO-RDY 22/05 TBC,LOAD,10000,BIODIESEL,HOLLAND
,,,,,
VICENTIN BERTH,,,,,
GREAT 61,ALONGSIDE/ETC 18/05 EPM,LOAD,40000,SBM,BANGLADESH
OBE NORALES,AT RECALADA,LOAD,23100,CSFO,INDIA
STI AMBER,AT RECALADA ,LOAD,4000,CSBO,INDIA
LENI,AT RECALADA,LOAD,40000,SBM,IRAQ
CHEMSTAR JEWEL,AT RECALADA,LOAD,3000,COTTON OIL,AUSTRALIA
BAHRI BULK,AT RECALADA,LOAD,16000+28000,SHPL+SBM,SAUDI ARABIA
GENOA,RECALADA 18/05,LOAD,5000,SHPL ,IRELAND
CONDOR TRADER,RECALADA 18/05,LOAD,4000,CSBO,PERU
SHAMROCK MERCURY,RECALADA 20/05,LOAD,3000,LECITHIN,USA
MEDI OKINAW,RECALADA 21/05,LOAD,40000,SBM,VIETNAM
ALJAZI,RECALADA 29/05,LOAD,40000,SBM,VIETNAM
LAVRAKI,RECALADA 01/06,LOAD,47200,CSBO,TBC
,,,,,
SAN BENITO,,,,,
ELDORIS,ALONGSIDE/ETC 17/05 EPM,LOAD,20000+20000,SBM+MAIZE,INDONESIA
LEON,SAN LORENZO 17/05,LOAD,30000,SBM,TUNISIA
AGNES VICTORY,AT COFCO PGSM,LOAD,13058+7000,CSBO,INDIA+MOZAMBIQUE
W PACIFIC,AT RECALADA,LOAD,40000,SBM+MAIZE,INDONESIA
DARYA LOK,AT RECALADA,LOAD,42000,SBM,VIETNAM
TORM THOR,RECALADA 21/05,LOAD,20000,CSBO,CHINA
NOTOS VENTURE,RECALADA 22/05,LOAD,40000,SBM,SOUTH AFRICA
EFFY N,RECALADA 25/05,LOAD,40000,MAIZE,ALGERIA
STRIMON,RECALADA 01/06,LOAD,30000,CSBO,TURKEY
,,,,,
     ROSARIO,,,,,
F-G PIER:,NIL,,,,
,,,,,
H-J PIER:,NIL, , , , 
,,,,,
B-C PIER,NIL,,,,
,,,,,
NORTH PIER:,, ,,,
ARGENTINA C,ROSARIO 19/05,LOAD/DISCH,400,CONTEINERS,URUGUAY
OBE NORARES (1ST SLOR),AT RECALADA,LOAD,6000,WPP,INDIA
CAMILA,RECALADA 20/05,LOAD,11039,BOLSBM,ECUADOR
,,,,,
CENTER PIER:,NIL,, ,,
,,,,,
SOUTH PIER:,,,,,
ULUSOY 8 ,ALONGSIDE,DISCH,10000,STEAL PRODUCS,TURKEY
NAVIG8 SPICA (1ST SLOR),READY 22/PM,LOAD,6900,VEGOIL,NETHERLANDS
,,,,,
SERV. PORT. S.A UNIT VI:,,,,,
ECO TIDE (1ST SLOR),READY 19/05,LOAD,30000,WHEAT,BRAZIL
KING LAN,RECALADA 20/05,LOAD,40000,SORGHUM,CHINA
,,,,,
SERV. PORT. S.A. UNIT VII:,,,,,
MAJESTIC ISLAND ,ROSARIO 18/EAM,LOAD,45000,MAIZE,TBC
WESTERN DONCASTER ,RECALADA 17/NITE,LOAD,30000,SORGHUM,CHINA
,,,,,
CARGILL V.G.G.:,,,,,
AFROESSA,ALONGSIDE,LOAD,45000,SBM,INDONESIA
STAVANGER PIONEER,ROSARIO 18/PM,LOAD,30000,SBO,CHINA
KMAX VISION,AT RECALADA,LOAD,40500,SBM,INDONESIA
GULF BAYNUNAH,RDY RECALADA 20/05,LOAD,15000,BIODIESEL,NETHERLANDS
NAVIOS HELIOS,RECALADA 05/06,LOAD,35000,SBM,MALAYSIA
,,,,,
CARGILL PUNTA ALVEAR: ,,,,,
BUNUN NOBLE,AT ROADS,LOAD,30000,MAIZE,BRAZIL
KMAX VISION,AT RECALADA,LOAD,10000,MAIZE,INDONESIA
MARCOS DIAS,AT RECALADA,LOAD,30000,WHEAT,BRAZIL
NAVIOS SUN (1ST VCON),READY 19/05,LOAD,44000,MAIZE,TAIWAN
FYLA,RECALADA 28/05,LOAD,45000,MAIZE,KOREA
,,,,,
DREYFUS GRAL. LAGOS:       ,,,,,
MEDI KAZAHAYA  ,ALONGSIDE,LOAD,40000,SBM,S.ARABIA
UNION GROOVE           ,AT RECALADA,LOAD,29500,SBM+SHP+MAIZE,PUERTO RICO
METEORA,RECALADA 19/PM,LOAD,40000,MAIZE,JAPAN
SFL SARA               ,RECALADA 20/05,LOAD,7000,SHP,CHILE
,,,,,
DREYFUS VEG-OIL PIER: ,,,,,
ESTEEM HOUSTON,RECALADA 18/05,LOAD,14000,FAME,NETHERLANDS
,,,,,
TRANSSHIPMENT AT ROADS (ACBL 809):,NIL,,,,
, ,,,,
ADM AGRO (EX-TOEPFER) ARROYO SECO: ,,,,,
SHENG HENG HAI,ALONGSIDE,LOAD,40000,WHEAT,EGYPT
SNOWY,AT ROADS,LOAD,40000,MAIZE,ALGERIA
AFRICAN WAGDAIL,AT RECALADA,LOAD,40000,MAIZE,CHILE
SUN VIL II,AT RECALADA,LOAD,40000,MAIZE,ALGERIA
DAIWAN DOLPHINE (1ST SLOR),READY 19-20/05,LOAD,35000,WHEAT,ANGOLA
ORIENT BEAUTY,RECALADA 23/05,LOAD,45000,MAIZE,JAPAN
,,,,,
VILLA CONSTITUCION PORT,,,,,
SERVICIOS PORTUARIOS S.A. T I / T II:,,,,,
MOUNT HIKURANGI,ALONGSIDE,LOAD,25000,MAIZE,TBC
,,,,,
PUERTO VILLA CONSTITUCION T III:,,,,,
NIL,,,,,
,,,,,
ACINDAR (COMMERCIAL):,,,,,
NIL,,,,,
,,,,,
ACINDAR (RAW MATERIAL):,,,,,
NAVIOS SUN,ALONGSIDE,DISCH,42256,IRON ORE,ACINDAR
,,,,,
VILLA CONSTITUCION ROADS:,,,,,
NIL,,,,,
,,,,,
SAN NICOLAS PORT,,,,,
ELEVATOR:,,,,,
NIL,,,,,
,,,,,
NEW PORT:,,,,,
HEMUS,ALONGSIDE,DISCH,21635,FERTILIZERS,YPF/ACA/CARGILL
MOUNTPARK,ALONGSIDE,DISCH,24095,FERTILIZERS,YPF/AGREFERT/CARGIL/AFA
AMELIE,AT ROADS,DISCH,22978,FERTILIZERS,YPF/NUTRIEN/ZF/CNA/AGREFERT
BARGAGES,ETA SNIC 21/05,DISCH,2075,UG+ NPSZN,BUNGE/ZF
DENSA SEA LION,AT RECA,DISCH,27000,FERTILIZERS,YARA
CHUMERNA,ETA RECA 19/05,DISCH,14850,FERTILIZERS,YPF/CARGILL
OCCITAN PULLIAC,ETA RECA 20/05,DISCH,16253,FERTILIZERS,TBC
YASA VENUS,RDY NP 21/05,DISCH,24140,FERTILIZERS,YARA/AFA
SSI RELIANCE,ETA RECA 22/05,DISCH,18553,FERTILIZERS,VARIOS
STARA PLANINA,RDY NP 25/05,DISCH,19900,FERTILIZERS,NUTRIEN/YPF/CARGILL/FREE ZONE
LA CHESNAIS,ETA RECA 30/05,DISCH,13200,FERTILIZERS,PROFERTIL
MILIN KMAX,ETA RECA 03/06,DISCH,TBC,FERTILIZERS,TBC
DUBAI SUN,RDY NP 04/06,DISCH,20446,FERTILIZERS,YPF/COFCO
TAIZHOU PIONEER,ETA RECA 06/06,DISCH,27500,FERTILIZERS,COFCO/AFA/YPF/PROFERTIL
POLA DEVORA,AT RECA,DISCH,15350,FERTILIZERS,CHS/EMERGER/ACA
BOZBURUN-M,ETA RECA TBC,DISCH,TBC,FERTILIZERS,COFCO/AFA/YPF
WESTERN CALLAO,ETA RECA JUNE,DISCH,TBC,FERTILIZERS,AFA
OCEAN ROYAL,ETA RECA JUNE,DISCH,TBC,FERTILIZERS,PROFERTIL
NORDIC LONDON,ETA RECA JUNE,DISCH,TBC,FERTILIZERS,PROFERTIL
,,,,,
AES ARGENTINA GENERACION S.A.,,,,,
PANOCEANIS,ETA RECA 31/05,DISCH,40000,COAL,TBC
,,,,,
SIDERAR (COMMERCIAL):,,,,,
AROMO,ETA SNIC 17/05 PM,DISCH,32000,STEEL SLABS,SIDERAR
MACAW ARROW,ETA RECA 05/06,DISCH,6600,STEEL COILS,SIDERAR
BBC VERMONT,ETA RECA 10/06,DISCH,3100,STEEL COILS,SIDERAR
LOCH MARE,ETA RECA 10/07,DISCH,10000,STEEL COILS,SIDERAR
CHIPOL TAIHU,ETA RECA 10/07,DISCH,6000,STEEL COILS,SIDERAR
CHIPOL HUANGHE,ETA RECA 30/07,DISCH,7000,STEEL COILS,SIDERAR
,,,,,
SIDERAR (RAW MATERIAL PIER):,,,,,
NIL,,,,,
,,,,,
SIDERAR (COAL BERTH):,,,,,
PEDHOULAS COMMANDER,ALONGSIDE,DISCH,40000,COAL,SIDERAR
DANSAS,ETA RECA 28/05,DISCH,43053,COAL,SIDERAR
NORD COLUMBIA,ETA RECA 31/05,DISCH,38000,COAL,SIDERAR
,,,,,
SAN NICOLAS ROADS:,,,,,
HANZE GENDT,WAITING ORDERS,,,,
AMELIE,WAITING BERTH,,,,
,,,,,
,,,,,
BUNGE FERTILIZERS BERTH:,,,,,
POLA DEVORA,AT RECA-AWAITING DRAFT,DISCH,11000,MAP/DAP,ACA/BUNGE
FAIRCHEM KATANA,ETA RECA END MAY,DISCH,10500,S.ACID,ACA/BUNGE
NICOLINE BULKER,ETA RECA JUNE,DISCH,20000,P.ROCK,ACA/BUNGE
,,,,,
BUNGE ELEVATOR BERTH:,,,,,
STAR CAPOEIRA,ETA RAM 18/05,LOAD ,41608,SORGHUM,BUNGE
BAHRI GRAIN ,ETA RECA 24/05,LOAD ,40000,MAIZE,BUNGE
